Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost,errorMessage
Asia,India,Fruits,Offline,H,22/12/14,397013986,10/02/15,4116,9.33,6.92, Region.matches("Europe") == true failed
Asia,Indonesia,Vegetables,Offline,M,11/09/16,921797835,29/10/16,9319,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Baby Food,Online,H,28/01/10,313514888,13/03/10,4877,255.28,159.42, Region.matches("Europe") == true failed
Asia,Sri Lanka,Office Supplies,Offline,M,17/10/10,128518855,29/10/10,440,651.21,524.96, Region.matches("Europe") == true failed
Asia,Indonesia,Cosmetics,Online,M,05/01/14,430118453,25/01/14,463,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Personal Care,Offline,M,17/04/12,786324822,16/05/12,9844,81.73,56.67, Region.matches("Europe") == true failed
Asia,Indonesia,Clothes,Online,H,29/09/10,402370250,23/10/10,9153,109.28,35.84, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Offline,H,01/01/16,159525620,19/01/16,6031,255.28,159.42, Region.matches("Europe") == true failed
Asia,Sri Lanka,Household,Offline,H,03/08/16,297969233,14/08/16,4573,668.27,502.54, Region.matches("Europe") == true failed
Asia,Sri Lanka,Beverages,Offline,H,28/04/10,700216472,17/06/10,8469,47.45,31.79, Region.matches("Europe") == true failed
Asia,Indonesia,Household,Offline,M,27/11/14,337698972,20/12/14,1485,668.27,502.54, Region.matches("Europe") == true failed
Asia,India,Cosmetics,Online,M,28/06/10,851868999,07/08/10,5822,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Beverages,Offline,M,14/09/16,422226750,22/10/16,5133,47.45,31.79, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Offline,M,01/09/14,578049790,08/09/14,6633,205.7,117.11, Region.matches("Europe") == true failed
Asia,Sri Lanka,Personal Care,Online,M,13/06/15,186623227,25/07/15,4815,81.73,56.67, Region.matches("Europe") == true failed
Asia,Indonesia,Fruits,Online,M,26/03/10,466111552,28/04/10,1621,9.33,6.92, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Offline,M,18/07/14,485671937,02/09/14,9974,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Household,Offline,H,22/08/11,638393485,04/10/11,3674,668.27,502.54, Region.matches("Europe") == true failed
Asia,Indonesia,Cosmetics,Online,H,09/02/12,681940543,30/03/12,216,437.2,263.33, Region.matches("Europe") == true failed
Asia,India,Clothes,Online,H,04/01/13,331017911,11/02/13,4411,109.28,35.84, Region.matches("Europe") == true failed
Asia,Sri Lanka,Beverages,Online,H,10/11/13,329395711,18/12/13,4366,47.45,31.79, Region.matches("Europe") == true failed
Asia,India,Household,Offline,M,25/10/10,814805591,26/11/10,7936,668.27,502.54, Region.matches("Europe") == true failed
Asia,India,Office Supplies,Offline,H,09/11/14,967189395,21/12/14,1690,651.21,524.96, Region.matches("Europe") == true failed
Asia,Sri Lanka,Clothes,Offline,M,22/07/10,456244456,08/08/10,1728,109.28,35.84, Region.matches("Europe") == true failed
Asia,India,Office Supplies,Online,H,13/02/15,390249669,28/03/15,2404,651.21,524.96, Region.matches("Europe") == true failed
Asia,Indonesia,Cosmetics,Offline,M,28/04/11,922192656,14/05/11,6155,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Online,H,07/08/16,758576619,08/09/16,8534,205.7,117.11, Region.matches("Europe") == true failed
Asia,Indonesia,Beverages,Online,M,21/02/15,359472501,23/02/15,4756,47.45,31.79, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cereal,Offline,H,11/12/14,694480836,13/12/14,1167,205.7,117.11, Region.matches("Europe") == true failed
Asia,India,Fruits,Online,M,11/03/10,464968717,22/03/10,3431,9.33,6.92, Region.matches("Europe") == true failed
Asia,India,Beverages,Online,H,16/03/16,493210446,30/04/16,786,47.45,31.79, Region.matches("Europe") == true failed
Asia,Sri Lanka,Beverages,Online,H,06/09/15,798963820,25/10/15,4,47.45,31.79, Region.matches("Europe") == true failed
Asia,Indonesia,Beverages,Online,M,15/08/13,189429891,04/10/13,5369,47.45,31.79, Region.matches("Europe") == true failed
Asia,Sri Lanka,Baby Food,Online,M,01/01/17,748948562,07/02/17,9378,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Personal Care,Online,H,27/04/12,603429067,05/06/12,6925,81.73,56.67, Region.matches("Europe") == true failed
Asia,India,Baby Food,Online,M,14/11/14,689676463,17/12/14,9446,255.28,159.42, Region.matches("Europe") == true failed
Asia,Indonesia,Office Supplies,Offline,H,02/12/16,871585166,02/12/16,274,651.21,524.96, Region.matches("Europe") == true failed
Asia,India,Vegetables,Online,H,10/01/14,108918130,11/01/14,150,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Household,Online,M,24/07/13,374804008,09/08/13,1690,668.27,502.54, Region.matches("Europe") == true failed
Asia,Indonesia,Household,Online,H,19/06/11,431245839,05/08/11,4082,668.27,502.54, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Online,M,01/02/14,779856622,26/02/14,5759,205.7,117.11, Region.matches("Europe") == true failed
Asia,India,Clothes,Offline,H,26/07/10,170544993,07/08/10,6908,109.28,35.84, Region.matches("Europe") == true failed
Asia,Sri Lanka,Beverages,Offline,M,14/02/16,651229894,01/04/16,2252,47.45,31.79, Region.matches("Europe") == true failed
Asia,Sri Lanka,Baby Food,Offline,H,18/09/11,468448293,07/10/11,3115,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Baby Food,Offline,H,20/06/10,728953015,26/06/10,2251,255.28,159.42, Region.matches("Europe") == true failed
Asia,Sri Lanka,Household,Offline,M,06/11/13,960028970,05/12/13,2761,668.27,502.54, Region.matches("Europe") == true failed
Asia,Sri Lanka,Vegetables,Offline,M,30/10/14,586714398,14/12/14,683,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Meat,Online,H,24/10/12,373084390,29/11/12,2817,421.89,364.69, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cereal,Online,H,02/10/11,444913518,27/10/11,8652,205.7,117.11, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cereal,Online,M,03/09/13,181324040,22/10/13,6668,205.7,117.11, Region.matches("Europe") == true failed
Asia,Sri Lanka,Vegetables,Online,M,10/06/14,171276271,12/07/14,3310,154.06,90.93, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cosmetics,Online,M,28/05/15,534979522,30/05/15,1184,437.2,263.33, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cereal,Offline,H,02/07/14,226970088,11/07/14,4348,205.7,117.11, Region.matches("Europe") == true failed
Asia,Indonesia,Vegetables,Online,M,24/06/10,713564431,05/07/10,8427,154.06,90.93, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Online,M,03/02/13,443309342,21/03/13,3941,255.28,159.42, Region.matches("Europe") == true failed
Asia,Indonesia,Vegetables,Online,M,21/03/12,920769155,29/04/12,4909,154.06,90.93, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cosmetics,Offline,H,13/07/13,628583467,21/07/13,671,437.2,263.33, Region.matches("Europe") == true failed
Asia,India,Baby Food,Online,M,24/06/17,328425395,12/08/17,7228,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Baby Food,Online,H,31/08/12,641973054,05/09/12,2948,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Baby Food,Offline,M,12/02/10,599413049,05/03/10,8496,255.28,159.42, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Online,M,11/10/15,934988725,02/11/15,2796,205.7,117.11, Region.matches("Europe") == true failed
Asia,Sri Lanka,Baby Food,Offline,M,09/11/10,581020390,12/12/10,5700,255.28,159.42, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cosmetics,Online,M,30/06/15,650892150,09/07/15,2306,437.2,263.33, Region.matches("Europe") == true failed
Asia,Sri Lanka,Snacks,Online,M,13/09/11,789648616,21/10/11,3428,152.58,97.44, Region.matches("Europe") == true failed
Asia,India,Clothes,Offline,H,29/08/11,539251315,22/09/11,5302,109.28,35.84, Region.matches("Europe") == true failed
Asia,India,Fruits,Offline,H,06/12/16,197264516,25/01/17,3809,9.33,6.92, Region.matches("Europe") == true failed
Asia,Sri Lanka,Household,Offline,M,18/12/16,947232902,10/01/17,6120,668.27,502.54, Region.matches("Europe") == true failed
Asia,India,Vegetables,Online,M,29/09/12,642212092,24/10/12,3684,154.06,90.93, Region.matches("Europe") == true failed
Asia,Indonesia,Fruits,Online,H,24/06/12,121771275,03/08/12,3681,9.33,6.92, Region.matches("Europe") == true failed
Asia,India,Beverages,Offline,H,28/01/10,400889670,11/02/10,1017,47.45,31.79, Region.matches("Europe") == true failed
Asia,Sri Lanka,Meat,Offline,M,04/08/12,300421416,22/09/12,228,421.89,364.69, Region.matches("Europe") == true failed
Asia,Indonesia,Fruits,Online,H,25/12/10,249394214,05/01/11,145,9.33,6.92, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cosmetics,Online,M,10/04/14,780375039,23/04/14,9171,437.2,263.33, Region.matches("Europe") == true failed
Asia,India,Fruits,Online,M,07/06/14,884718978,21/07/14,6861,9.33,6.92, Region.matches("Europe") == true failed
Asia,India,Household,Offline,M,09/10/13,645791661,16/11/13,2958,668.27,502.54, Region.matches("Europe") == true failed
Asia,Sri Lanka,Household,Offline,M,25/01/12,466926085,18/02/12,2660,668.27,502.54, Region.matches("Europe") == true failed
Asia,Sri Lanka,Office Supplies,Online,H,02/08/12,165738046,20/08/12,4426,651.21,524.96, Region.matches("Europe") == true failed
Asia,India,Vegetables,Online,H,12/07/16,543521821,20/07/16,9040,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Cereal,Offline,M,25/02/10,575878274,23/03/10,4033,205.7,117.11, Region.matches("Europe") == true failed
Asia,India,Office Supplies,Offline,M,06/05/17,735618627,21/06/17,4754,651.21,524.96, Region.matches("Europe") == true failed
Asia,Sri Lanka,Snacks,Online,H,08/12/13,679133880,20/01/14,9662,152.58,97.44, Region.matches("Europe") == true failed
Asia,Indonesia,Household,Offline,H,17/01/11,789270532,19/01/11,1545,668.27,502.54, Region.matches("Europe") == true failed
Asia,Indonesia,Personal Care,Offline,H,29/04/16,935087430,08/06/16,2005,81.73,56.67, Region.matches("Europe") == true failed
Asia,India,Cosmetics,Offline,M,11/06/12,430061376,20/07/12,3573,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Office Supplies,Online,H,08/07/12,910861718,01/08/12,3079,651.21,524.96, Region.matches("Europe") == true failed
Asia,India,Office Supplies,Offline,M,14/07/16,678205192,21/08/16,4842,651.21,524.96, Region.matches("Europe") == true failed
Asia,Sri Lanka,Clothes,Offline,M,03/11/15,514686572,07/12/15,6049,109.28,35.84, Region.matches("Europe") == true failed
Asia,Indonesia,Clothes,Online,M,05/08/12,998475539,20/08/12,9955,109.28,35.84, Region.matches("Europe") == true failed
Asia,India,Meat,Online,H,11/12/14,995727241,07/01/15,6673,421.89,364.69, Region.matches("Europe") == true failed
Asia,Sri Lanka,Beverages,Online,H,05/10/13,384611451,31/10/13,3930,47.45,31.79, Region.matches("Europe") == true failed
Asia,India,Fruits,Online,M,20/11/13,250365817,28/12/13,7664,9.33,6.92, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cereal,Offline,M,23/07/14,501100862,01/09/14,5735,205.7,117.11, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Offline,M,13/07/16,127704322,04/08/16,9402,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Vegetables,Offline,M,14/07/16,765579974,23/07/16,982,154.06,90.93, Region.matches("Europe") == true failed
Asia,Sri Lanka,Beverages,Offline,H,08/05/17,965863311,21/06/17,9272,47.45,31.79, Region.matches("Europe") == true failed
Asia,India,Baby Food,Offline,H,24/05/10,688647782,17/06/10,5037,255.28,159.42, Region.matches("Europe") == true failed
Asia,Indonesia,Meat,Online,M,09/03/16,176535117,04/04/16,9519,421.89,364.69, Region.matches("Europe") == true failed
Asia,Sri Lanka,Vegetables,Offline,H,09/01/17,190301501,30/01/17,3298,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Household,Offline,M,09/01/10,745624768,05/02/10,5793,668.27,502.54, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Offline,M,31/10/16,427229821,29/11/16,5653,255.28,159.42, Region.matches("Europe") == true failed
Asia,Indonesia,Beverages,Offline,M,18/12/14,215022027,29/12/14,8651,47.45,31.79, Region.matches("Europe") == true failed
Asia,Sri Lanka,Baby Food,Online,M,30/05/17,252619302,01/06/17,4520,255.28,159.42, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Offline,M,27/08/15,842610871,06/09/15,6136,205.7,117.11, Region.matches("Europe") == true failed
Asia,India,Snacks,Online,M,17/06/13,120586812,19/07/13,3172,152.58,97.44, Region.matches("Europe") == true failed
Asia,Indonesia,Beverages,Online,H,24/07/12,562505424,05/08/12,6710,47.45,31.79, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cereal,Online,M,07/02/14,882660329,19/03/14,7661,205.7,117.11, Region.matches("Europe") == true failed
Asia,India,Snacks,Offline,M,20/12/13,691099965,31/12/13,692,152.58,97.44, Region.matches("Europe") == true failed
Asia,India,Fruits,Offline,M,21/12/11,736013448,05/01/12,1590,9.33,6.92, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Offline,M,09/01/12,962835633,15/02/12,3315,255.28,159.42, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cosmetics,Offline,M,01/12/12,988608443,20/01/13,62,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Meat,Offline,M,17/12/16,170108544,24/12/16,7753,421.89,364.69, Region.matches("Europe") == true failed
Asia,India,Cosmetics,Online,M,28/06/15,376960074,28/06/15,9718,437.2,263.33, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cosmetics,Online,M,27/03/13,463741338,27/04/13,222,437.2,263.33, Region.matches("Europe") == true failed
Asia,Sri Lanka,Vegetables,Online,M,27/02/10,365627849,20/03/10,6260,154.06,90.93, Region.matches("Europe") == true failed
Asia,Sri Lanka,Snacks,Offline,M,05/01/15,381665742,07/01/15,2229,152.58,97.44, Region.matches("Europe") == true failed
Asia,India,Personal Care,Online,M,16/03/12,670412194,08/04/12,8721,81.73,56.67, Region.matches("Europe") == true failed
Asia,Indonesia,Meat,Online,M,25/03/14,376284587,20/04/14,9826,421.89,364.69, Region.matches("Europe") == true failed
Asia,Indonesia,Household,Offline,H,29/12/15,484347140,02/02/16,7937,668.27,502.54, Region.matches("Europe") == true failed
Asia,Indonesia,Meat,Online,M,07/07/10,602654874,22/08/10,7824,421.89,364.69, Region.matches("Europe") == true failed
Asia,India,Cosmetics,Online,M,05/04/15,117739808,01/05/15,680,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Meat,Offline,H,07/11/12,374227225,15/11/12,1007,421.89,364.69, Region.matches("Europe") == true failed
Asia,Indonesia,Personal Care,Online,H,23/02/11,143487727,01/04/11,62,81.73,56.67, Region.matches("Europe") == true failed
Asia,Sri Lanka,Baby Food,Offline,H,23/03/12,138961446,11/05/12,635,255.28,159.42, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Online,H,17/11/16,257244288,24/11/16,3156,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Meat,Online,M,28/02/15,588773047,19/04/15,9883,421.89,364.69, Region.matches("Europe") == true failed
Asia,Sri Lanka,Personal Care,Online,H,01/07/16,269431388,27/07/16,9590,81.73,56.67, Region.matches("Europe") == true failed
Asia,India,Cereal,Offline,M,20/11/13,337740600,29/11/13,3804,205.7,117.11, Region.matches("Europe") == true failed
Asia,Indonesia,Personal Care,Offline,H,21/03/16,830942189,21/04/16,3114,81.73,56.67, Region.matches("Europe") == true failed
Asia,India,Meat,Online,H,07/07/16,380539643,20/07/16,8992,421.89,364.69, Region.matches("Europe") == true failed
Asia,India,Clothes,Offline,M,21/02/14,985622394,21/03/14,6424,109.28,35.84, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Offline,H,07/07/13,613154542,21/07/13,4909,205.7,117.11, Region.matches("Europe") == true failed
Asia,Indonesia,Cosmetics,Online,H,07/11/13,889145267,04/12/13,6698,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Cosmetics,Offline,H,15/02/13,110341632,17/03/13,1396,437.2,263.33, Region.matches("Europe") == true failed
Asia,India,Vegetables,Online,M,08/07/16,689972579,12/08/16,7074,154.06,90.93, Region.matches("Europe") == true failed
Asia,Indonesia,Beverages,Offline,H,03/07/14,287148559,11/08/14,2494,47.45,31.79, Region.matches("Europe") == true failed
Asia,India,Beverages,Offline,H,29/11/13,329594409,09/12/13,3165,47.45,31.79, Region.matches("Europe") == true failed
Asia,India,Snacks,Online,M,10/11/16,641141784,11/12/16,6956,152.58,97.44, Region.matches("Europe") == true failed
Asia,Sri Lanka,Clothes,Online,M,26/02/17,242613160,19/03/17,3480,109.28,35.84, Region.matches("Europe") == true failed
Asia,Sri Lanka,Office Supplies,Offline,M,17/01/12,653443038,30/01/12,7171,651.21,524.96, Region.matches("Europe") == true failed
Asia,India,Meat,Offline,M,03/03/13,946740663,26/03/13,456,421.89,364.69, Region.matches("Europe") == true failed
Asia,India,Meat,Online,M,17/01/16,908549869,27/02/16,8951,421.89,364.69, Region.matches("Europe") == true failed
Asia,India,Meat,Online,M,03/01/11,284935414,26/01/11,7576,421.89,364.69, Region.matches("Europe") == true failed
Asia,Indonesia,Beverages,Online,M,10/06/16,999166476,17/07/16,4419,47.45,31.79, Region.matches("Europe") == true failed
Asia,India,Fruits,Online,H,24/05/14,598820817,10/06/14,3242,9.33,6.92, Region.matches("Europe") == true failed
Asia,Sri Lanka,Snacks,Offline,H,29/03/12,301943624,12/05/12,683,152.58,97.44, Region.matches("Europe") == true failed
Asia,Sri Lanka,Cosmetics,Offline,H,30/06/13,564743459,01/08/13,8994,437.2,263.33, Region.matches("Europe") == true failed
Asia,Indonesia,Fruits,Offline,M,27/12/14,778433120,12/02/15,4514,9.33,6.92, Region.matches("Europe") == true failed
Asia,Sri Lanka,Clothes,Offline,M,02/02/13,645255219,03/03/13,4213,109.28,35.84, Region.matches("Europe") == true failed
Asia,Sri Lanka,Personal Care,Offline,M,06/04/13,127152431,22/04/13,6085,81.73,56.67, Region.matches("Europe") == true failed
Asia,Sri Lanka,Baby Food,Online,M,18/09/14,807390677,21/09/14,3698,255.28,159.42, Region.matches("Europe") == true failed
Asia,India,Cosmetics,Online,H,04/05/14,634122979,12/05/14,9936,437.2,263.33, Region.matches("Europe") == true failed
Asia,India,Household,Offline,M,06/05/12,813719832,17/06/12,6636,668.27,502.54, Region.matches("Europe") == true failed
Asia,India,Clothes,Online,H,31/08/13,169516313,03/09/13,2499,109.28,35.84, Region.matches("Europe") == true failed
Asia,Sri Lanka,Office Supplies,Online,M,26/05/13,445209634,22/06/13,6279,651.21,524.96, Region.matches("Europe") == true failed
Asia,India,Baby Food,Offline,H,02/01/10,273209655,13/01/10,7663,255.28,159.42, Region.matches("Europe") == true failed
Asia,Sri Lanka,Office Supplies,Offline,M,19/06/12,295418345,26/06/12,9708,651.21,524.96, Region.matches("Europe") == true failed
Asia,Indonesia,Personal Care,Offline,M,07/05/12,838397443,15/05/12,9289,81.73,56.67, Region.matches("Europe") == true failed
Asia,Indonesia,Snacks,Offline,H,23/03/12,199139916,21/04/12,8781,152.58,97.44, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Online,H,31/08/14,355991637,06/09/14,4691,205.7,117.11, Region.matches("Europe") == true failed
Asia,Sri Lanka,Snacks,Online,H,11/02/11,769397294,15/02/11,612,152.58,97.44, Region.matches("Europe") == true failed
Asia,Indonesia,Clothes,Offline,H,12/09/16,287543380,20/09/16,9331,109.28,35.84, Region.matches("Europe") == true failed
Asia,Sri Lanka,Household,Online,M,26/05/12,830291593,03/06/12,588,668.27,502.54, Region.matches("Europe") == true failed
Asia,India,Cereal,Online,H,05/12/12,877658545,10/01/13,7522,205.7,117.11, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Online,M,14/08/15,778770864,17/09/15,4459,205.7,117.11, Region.matches("Europe") == true failed
Asia,Indonesia,Household,Offline,H,02/11/16,518225800,21/12/16,3385,668.27,502.54, Region.matches("Europe") == true failed
Asia,Indonesia,Vegetables,Online,H,18/10/12,409529387,07/12/12,7701,154.06,90.93, Region.matches("Europe") == true failed
Asia,Indonesia,Baby Food,Offline,H,29/07/14,327453792,19/08/14,9709,255.28,159.42, Region.matches("Europe") == true failed
Asia,Indonesia,Vegetables,Offline,M,03/08/16,817652595,11/09/16,428,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Cereal,Offline,M,27/03/13,499242198,10/05/13,5716,205.7,117.11, Region.matches("Europe") == true failed
Asia,Sri Lanka,Clothes,Offline,H,03/03/17,908787620,26/03/17,9307,109.28,35.84, Region.matches("Europe") == true failed
Asia,Sri Lanka,Meat,Offline,H,25/10/16,731939065,22/11/16,5889,421.89,364.69, Region.matches("Europe") == true failed
Asia,India,Cereal,Offline,M,03/03/15,989201962,13/04/15,5698,205.7,117.11, Region.matches("Europe") == true failed
Asia,India,Snacks,Online,M,13/04/17,283117091,08/05/17,9494,152.58,97.44, Region.matches("Europe") == true failed
Asia,Sri Lanka,Vegetables,Online,M,03/09/16,960761535,09/10/16,9543,154.06,90.93, Region.matches("Europe") == true failed
Asia,Indonesia,Cosmetics,Online,H,29/09/13,785000026,17/10/13,7807,437.2,263.33, Region.matches("Europe") == true failed
Asia,India,Fruits,Online,H,22/07/14,755038678,27/07/14,1578,9.33,6.92, Region.matches("Europe") == true failed
Asia,Indonesia,Household,Online,H,21/03/11,996418178,08/05/11,1136,668.27,502.54, Region.matches("Europe") == true failed
Asia,India,Vegetables,Offline,M,16/02/15,921740758,03/03/15,2428,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Vegetables,Offline,H,20/04/12,789946019,17/05/12,1436,154.06,90.93, Region.matches("Europe") == true failed
Asia,India,Snacks,Online,M,31/10/14,800586020,19/12/14,49,152.58,97.44, Region.matches("Europe") == true failed
Asia,Sri Lanka,Clothes,Offline,M,25/12/16,935465514,20/01/17,3889,109.28,35.84, Region.matches("Europe") == true failed
Asia,Indonesia,Office Supplies,Online,M,22/08/10,782407510,20/09/10,624,651.21,524.96, Region.matches("Europe") == true failed
Asia,India,Personal Care,Online,M,06/10/11,202901446,05/11/11,1902,81.73,56.67, Region.matches("Europe") == true failed
Asia,India,Household,Offline,H,03/12/11,949686372,19/01/12,2156,668.27,502.54, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Offline,H,27/01/12,705475318,12/03/12,4679,205.7,117.11, Region.matches("Europe") == true failed
Asia,India,Personal Care,Offline,H,21/09/10,564209592,07/11/10,1011,81.73,56.67, Region.matches("Europe") == true failed
Asia,Indonesia,Household,Offline,M,14/05/16,233610808,30/06/16,9484,668.27,502.54, Region.matches("Europe") == true failed
Asia,India,Household,Online,H,15/03/12,360979259,16/03/12,639,668.27,502.54, Region.matches("Europe") == true failed
Asia,India,Baby Food,Online,M,07/08/11,483557498,23/09/11,4264,255.28,159.42, Region.matches("Europe") == true failed
Asia,Sri Lanka,Snacks,Offline,H,11/07/17,360385739,21/07/17,5004,152.58,97.44, Region.matches("Europe") == true failed
Asia,Sri Lanka,Household,Online,M,31/01/17,202307927,11/03/17,6266,668.27,502.54, Region.matches("Europe") == true failed
Asia,Sri Lanka,Baby Food,Offline,M,27/01/13,482273042,02/03/13,4165,255.28,159.42, Region.matches("Europe") == true failed
Asia,Indonesia,Fruits,Offline,H,22/02/12,658405768,27/02/12,5753,9.33,6.92, Region.matches("Europe") == true failed
Asia,India,Snacks,Online,H,10/12/15,257524955,23/12/15,6212,152.58,97.44, Region.matches("Europe") == true failed
Asia,India,Snacks,Offline,H,15/06/13,798528659,16/07/13,1230,152.58,97.44, Region.matches("Europe") == true failed
Asia,Sri Lanka,Clothes,Online,H,19/10/15,228788411,25/10/15,2430,109.28,35.84, Region.matches("Europe") == true failed
Asia,Sri Lanka,Fruits,Online,M,21/05/10,712222898,07/06/10,1437,9.33,6.92, Region.matches("Europe") == true failed
Asia,Indonesia,Cereal,Online,M,11/05/13,678994834,06/06/13,8515,205.7,117.11, Region.matches("Europe") == true failed
Asia,Indonesia,Beverages,Online,M,26/03/17,980972516,15/04/17,422,47.45,31.79, Region.matches("Europe") == true failed
